param1_alpha1,param2_alpha2,param3_alpha3,custo_total,maior_autovalor_abs
1.0,-1.0,-1.0,16.13769765286406,0.9491860870865353
1.0,-1.0,-0.8,16.137702548345445,0.9491860870865353
1.0,-1.0,-0.6,16.137707386893855,0.9491860870865353
1.0,-1.0,-0.3999999999999999,16.137712168152525,0.9491860870865353
1.0,-1.0,-0.19999999999999996,16.137716891766743,0.9491860870865353
1.0,-1.0,0.0,16.13772155738399,0.9491860870865353
1.0,-1.0,0.20000000000000018,16.137726164653905,0.9491860870865353
1.0,-1.0,0.40000000000000013,16.137730713228244,0.9491860870865353
1.0,-1.0,0.6000000000000001,16.137735202760986,0.9491860870865353
1.0,-1.0,0.8,16.137739632908332,0.9491860870865353
1.0,-1.0,1.0,16.137744003328766,0.9491860870865353
1.0,-0.8,-1.0,16.1381292114882,0.9491860870865353
1.0,-0.8,-0.8,16.138134015808912,0.9491860870865353
1.0,-0.8,-0.6,16.138138762921916,0.9491860870865353
1.0,-0.8,-0.3999999999999999,16.13814345247254,0.9491860870865353
1.0,-0.8,-0.19999999999999996,16.138148084108277,0.9491860870865353
1.0,-0.8,0.0,16.138152657478667,0.9491860870865353
1.0,-0.8,0.20000000000000018,16.138157172235452,0.9491860870865353
1.0,-0.8,0.40000000000000013,16.138161628032552,0.9491860870865353
1.0,-0.8,0.6000000000000001,16.13816602452611,0.9491860870865353
1.0,-0.8,0.8,16.138170361374474,0.9491860870865353
1.0,-0.8,1.0,16.13817463823828,0.9491860870865353
1.0,-0.6,-1.0,16.13856232875846,0.9491860870865353
1.0,-0.6,-0.8,16.13856704169072,0.9491860870865353
1.0,-0.6,-0.6,16.138571697141007,0.9491860870865353
1.0,-0.6,-0.3999999999999999,16.13857629475683,0.9491860870865353
1.0,-0.6,-0.19999999999999996,16.13858083418771,0.9491860870865353
1.0,-0.6,0.0,16.138585315085347,0.9491860870865353
1.0,-0.6,0.20000000000000018,16.138589737103658,0.9491860870865353
1.0,-0.6,0.40000000000000013,16.13859409989867,0.9491860870865353
1.0,-0.6,0.6000000000000001,16.138598403128675,0.9491860870865353
1.0,-0.6,0.8,16.138602646454174,0.9491860870865353
1.0,-0.6,1.0,16.13860682953792,0.9491860870865353
1.0,-0.3999999999999999,-1.0,16.138997002959407,0.9491860870865353
1.0,-0.3999999999999999,-0.8,16.13900162427531,0.9491860870865353
1.0,-0.3999999999999999,-0.6,16.139006187835506,0.9491860870865353
1.0,-0.3999999999999999,-0.3999999999999999,16.139010693289524,0.9491860870865353
1.0,-0.3999999999999999,-0.19999999999999996,16.139015140289114,0.9491860870865353
1.0,-0.3999999999999999,0.0,16.139019528488106,0.9491860870865353
1.0,-0.3999999999999999,0.20000000000000018,16.13902385754241,0.9491860870865353
1.0,-0.3999999999999999,0.40000000000000013,16.139028127110358,0.9491860870865353
1.0,-0.3999999999999999,0.6000000000000001,16.13903233685231,0.9491860870865353
1.0,-0.3999999999999999,0.8,16.139036486430918,0.9491860870865353
1.0,-0.3999999999999999,1.0,16.139040575511086,0.9491860870865353
1.0,-0.19999999999999996,-1.0,16.13943323234319,0.9491860870865353
1.0,-0.19999999999999996,-0.8,16.139437761814733,0.9491860870865353
1.0,-0.19999999999999996,-0.6,16.139442233257277,0.9491860870865353
1.0,-0.19999999999999996,-0.3999999999999999,16.139446646322526,0.9491860870865353
1.0,-0.19999999999999996,-0.19999999999999996,16.1394510006643,0.9491860870865353
1.0,-0.19999999999999996,0.0,16.139455295938514,0.9491860870865353
1.0,-0.19999999999999996,0.20000000000000018,16.139459531803347,0.9491860870865353
1.0,-0.19999999999999996,0.40000000000000013,16.139463707919116,0.9491860870865353
1.0,-0.19999999999999996,0.6000000000000001,16.139467823948408,0.9491860870865353
1.0,-0.19999999999999996,0.8,16.139471879556023,0.9491860870865353
1.0,-0.19999999999999996,1.0,16.139475874409047,0.9491860870865353
0.8,-1.0,-1.0,16.139590481198752,0.9491860870865353
